"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4873","Create a Order","Desktop-Microsoft_Edge","Sat Mar 01 18:02:15 BDT 2025","passed","Sat Mar 01 18:02:19 BDT 2025","","Woocommerce Rest API\Order_API_Test.spec.js","",""
"","49167","Validate Header Links","Desktop-Microsoft_Edge","Fri Feb 28 20:34:28 BDT 2025","passed","Fri Feb 28 20:35:17 BDT 2025","HeaderandFooter@smoke@regression","ClaypotstoreTest\FunctionalTest\HeaderFooter.spec.js","",""
"","63594","Validate Order Coupon","Desktop-Microsoft_Edge","Sat Mar 01 01:17:23 BDT 2025","passed","Sat Mar 01 01:18:26 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\FunctionalTest\Checkout.spec.js","",""
"","2586","View Single Customer","woocommerce-rest-api-tests","Sat Mar 01 17:47:32 BDT 2025","passed","Sat Mar 01 17:47:35 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","18300","Login with Mr.Val Hel-Sin D'souza @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:51:26 BDT 2025","passed","Sat Mar 01 15:51:44 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","14827","Login with 67458@gmail.com72764 @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:51:58 BDT 2025","passed","Sat Mar 01 15:52:13 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","3960","Delete a Order","Desktop-Microsoft_Edge","Sat Mar 01 01:38:24 BDT 2025","passed","Sat Mar 01 01:38:28 BDT 2025","","ClaypotstoreTest\Woocommerce Rest API\Order_API_Test.spec.js","",""
"","2612","View Single Customer","chromium","Sat Mar 01 17:47:32 BDT 2025","passed","Sat Mar 01 17:47:35 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","12086","Visit Cart","Desktop-Microsoft_Edge","Sat Mar 01 14:21:15 BDT 2025","passed","Sat Mar 01 14:21:27 BDT 2025","Compatibility_MObile  @CompatibilityMobile","ClaypotstoreTest\Compatibility Test\Compatibility_Test_Mobile.spec.js","",""
"","34674","Validate Return to Cart Button","Desktop-Microsoft_Edge","Sat Mar 01 01:15:50 BDT 2025","passed","Sat Mar 01 01:16:25 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\FunctionalTest\Checkout.spec.js","",""
"","8632","Shop Button Test witout Login","Desktop-Microsoft_Edge","Fri Feb 28 20:31:34 BDT 2025","passed","Fri Feb 28 20:31:42 BDT 2025","HomePageTest@smoke@regression","ClaypotstoreTest\FunctionalTest\HomePage.spec.js","",""
"","2249","Update a Customer","Desktop-Microsoft_Edge","Sat Mar 01 18:15:15 BDT 2025","failed","Sat Mar 01 18:15:17 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","14140","Login with nolak.kapali@gmail.com @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:51:44 BDT 2025","passed","Sat Mar 01 15:51:58 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","4505","View Single Order","Desktop-Microsoft_Edge","Sat Mar 01 01:38:07 BDT 2025","failed","Sat Mar 01 01:38:12 BDT 2025","","ClaypotstoreTest\Woocommerce Rest API\Order_API_Test.spec.js","",""
"","15961","Register with 12SSAAAAAMM*Mcin@yahoo.com Valid data @positive@smoke","Desktop-Microsoft_Edge","Fri Feb 28 20:21:28 BDT 2025","passed","Fri Feb 28 20:21:44 BDT 2025","RegisterFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Register.spec.js","",""
"","6864","Validate Header Logo, Title","Desktop-Microsoft_Edge","Fri Feb 28 20:34:21 BDT 2025","passed","Fri Feb 28 20:34:27 BDT 2025","HeaderandFooter@smoke@regression","ClaypotstoreTest\FunctionalTest\HeaderFooter.spec.js","",""
"","4249","View Single Product","Desktop-Microsoft_Edge","Sat Mar 01 01:38:33 BDT 2025","passed","Sat Mar 01 01:38:37 BDT 2025","","ClaypotstoreTest\Woocommerce Rest API\Product_API_Test.spec.js","",""
"","22769","Register with 12SSAAAAAMM*Mcin@yahoo.com Valid data @positive@smoke","Desktop-Microsoft_Edge","Sat Mar 01 15:50:16 BDT 2025","passed","Sat Mar 01 15:50:39 BDT 2025","RegisterFunctionalityTest@regression","ClaypotstoreTest\Register.spec.js","",""
"","9139","Visit Shop","Desktop-Microsoft_Edge","Sat Mar 01 14:14:36 BDT 2025","passed","Sat Mar 01 14:14:46 BDT 2025","End to End Test @EndToEnd","ClaypotstoreTest\SmokeTest\SmokeTest.spec.js","",""
"","4636","View Every Product","Desktop-Microsoft_Edge","Sat Mar 01 18:11:18 BDT 2025","passed","Sat Mar 01 18:11:22 BDT 2025","","Woocommerce Rest API\Product_API_Test.spec.js","",""
"","2549","View Single Customer","Desktop-Microsoft_Edge","Sat Mar 01 18:15:08 BDT 2025","passed","Sat Mar 01 18:15:11 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","3860","Verify Cart Page URL and Title","Desktop-Microsoft_Edge","Fri Feb 28 21:06:38 BDT 2025","passed","Fri Feb 28 21:06:41 BDT 2025","Cart_Page_Test@smoke@regression","ClaypotstoreTest\FunctionalTest\Cart.spec.js","",""
"","12496","Verify Cart Page URL and Title","Desktop-Microsoft_Edge","Sat Mar 01 17:41:08 BDT 2025","passed","Sat Mar 01 17:41:21 BDT 2025","Cart_Page_Test@regression","ClaypotstoreTest\Cart.spec.js","",""
"","2468","View Single Customer","firefox","Sat Mar 01 17:47:45 BDT 2025","passed","Sat Mar 01 17:47:48 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","16066","Visit Product Display from Cart","Desktop-Microsoft_Edge","Fri Feb 28 21:07:07 BDT 2025","passed","Fri Feb 28 21:07:23 BDT 2025","Cart_Page_Test@smoke@regression","ClaypotstoreTest\FunctionalTest\Cart.spec.js","",""
"","14506","User Login","Desktop-Microsoft_Edge","Sat Mar 01 14:14:05 BDT 2025","passed","Sat Mar 01 14:14:20 BDT 2025","End to End Test @EndToEnd","ClaypotstoreTest\SmokeTest\SmokeTest.spec.js","",""
"","12300","Visit Cart","Desktop-Microsoft_Edge","Sat Mar 01 14:14:59 BDT 2025","passed","Sat Mar 01 14:15:11 BDT 2025","End to End Test @EndToEnd","ClaypotstoreTest\SmokeTest\SmokeTest.spec.js","",""
"","13929","Shop Button Test witout Login","Desktop-Microsoft_Edge","Sat Mar 01 17:45:14 BDT 2025","passed","Sat Mar 01 17:45:28 BDT 2025","HomePageTest@regression","ClaypotstoreTest\HomePage.spec.js","",""
"","47333","Visit Product Display from Cart","Desktop-Microsoft_Edge","Sat Mar 01 17:43:16 BDT 2025","passed","Sat Mar 01 17:44:03 BDT 2025","Cart_Page_Test@regression","ClaypotstoreTest\Cart.spec.js","",""
"","2590","Create a Customer","webkit","Sat Mar 01 17:47:48 BDT 2025","failed","Sat Mar 01 17:47:50 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","27897","Register with hhbvvjsv$@#124@ Invalid data @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:51:07 BDT 2025","passed","Sat Mar 01 15:51:34 BDT 2025","RegisterFunctionalityTest@regression","ClaypotstoreTest\Register.spec.js","",""
"","20322","Register with Invalid data @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:52:33 BDT 2025","passed","Sat Mar 01 15:52:54 BDT 2025","RegisterFunctionalityTest@regression","ClaypotstoreTest\Register.spec.js","",""
"","3915","Create a Product","Desktop-Microsoft_Edge","Sat Mar 01 18:11:25 BDT 2025","passed","Sat Mar 01 18:11:29 BDT 2025","","Woocommerce Rest API\Product_API_Test.spec.js","",""
"","2715","View Single Order","Desktop-Microsoft_Edge","Sat Mar 01 18:02:12 BDT 2025","passed","Sat Mar 01 18:02:15 BDT 2025","","Woocommerce Rest API\Order_API_Test.spec.js","",""
"","2278","Update a Customer","chromium","Sat Mar 01 17:47:39 BDT 2025","failed","Sat Mar 01 17:47:41 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","8506","Validate Footer Visible Texts","Desktop-Microsoft_Edge","Fri Feb 28 20:35:17 BDT 2025","passed","Fri Feb 28 20:35:26 BDT 2025","HeaderandFooter@smoke@regression","ClaypotstoreTest\FunctionalTest\HeaderFooter.spec.js","",""
"","12365","Register with Chhfvvh4671324763#%#@hjkj^%&$&@hb@bjbkj^%&.@comJb@ Invalid data @negative","Desktop-Microsoft_Edge","Fri Feb 28 20:22:58 BDT 2025","passed","Fri Feb 28 20:23:10 BDT 2025","RegisterFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Register.spec.js","",""
"","3739","Create a Customer","Desktop-Microsoft_Edge","Sat Mar 01 18:15:11 BDT 2025","passed","Sat Mar 01 18:15:15 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","16375","Register with ghmja.com Invalid data @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:51:35 BDT 2025","passed","Sat Mar 01 15:51:51 BDT 2025","RegisterFunctionalityTest@regression","ClaypotstoreTest\Register.spec.js","",""
"","16789","User Login","Desktop-Microsoft_Edge","Sat Mar 01 14:20:21 BDT 2025","passed","Sat Mar 01 14:20:38 BDT 2025","Compatibility_MObile  @CompatibilityMobile","ClaypotstoreTest\Compatibility Test\Compatibility_Test_Mobile.spec.js","",""
"","14051","Login with CJ --h---f422@#$@%$$^!$@%^ @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:52:13 BDT 2025","passed","Sat Mar 01 15:52:27 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","24688","Register with Chhfvvh4671324763#%#@hjkj^%&$&@hb@bjbkj^%&.@comJb@ Invalid data @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:52:54 BDT 2025","passed","Sat Mar 01 15:53:18 BDT 2025","RegisterFunctionalityTest@regression","ClaypotstoreTest\Register.spec.js","",""
"","10664","Register with hhbvvjsv$@#124@ Invalid data @negative","Desktop-Microsoft_Edge","Fri Feb 28 20:21:59 BDT 2025","passed","Fri Feb 28 20:22:10 BDT 2025","RegisterFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Register.spec.js","",""
"","14685","User Login","Desktop-Microsoft_Edge","Sat Mar 01 01:37:40 BDT 2025","passed","Sat Mar 01 01:37:54 BDT 2025","End to End Test @EndToEnd","ClaypotstoreTest\End to End Test\E2E Test.spec.js","",""
"","19260","Login with 12saaammmcin valid data @positive @smoke","Desktop-Microsoft_Edge","Sat Mar 01 15:49:45 BDT 2025","passed","Sat Mar 01 15:50:04 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","16640","Login with CJ@paolo.edu.bd @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:52:27 BDT 2025","passed","Sat Mar 01 15:52:44 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","7891","Verify HomePage Texts","Desktop-Microsoft_Edge","Sat Mar 01 17:45:06 BDT 2025","passed","Sat Mar 01 17:45:14 BDT 2025","HomePageTest@regression","ClaypotstoreTest\HomePage.spec.js","",""
"","1","Validate Order Checkout Form","Desktop-Microsoft_Edge","Sat Mar 01 17:40:12 BDT 2025","skipped","Sat Mar 01 17:40:12 BDT 2025","checkoutpage@regression","ClaypotstoreTest\Checkout.spec.js","",""
"","15812","Login with rink332242@gmail.com valid data @positive @smoke","Desktop-Microsoft_Edge","Fri Feb 28 20:26:19 BDT 2025","passed","Fri Feb 28 20:26:35 BDT 2025","LoginFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Login.spec.js","",""
"","60137","Validate Header Links","Desktop-Microsoft_Edge","Sat Mar 01 15:46:18 BDT 2025","broken","Sat Mar 01 15:47:18 BDT 2025","HeaderandFooter@regression","ClaypotstoreTest\HeaderFooter.spec.js","",""
"","48828","Validate Order Summary Form","Desktop-Microsoft_Edge","Sat Mar 01 14:02:29 BDT 2025","passed","Sat Mar 01 14:03:18 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\Checkout.spec.js","",""
"","11896","Register with ghmja.com Invalid data @negative","Desktop-Microsoft_Edge","Fri Feb 28 20:22:10 BDT 2025","passed","Fri Feb 28 20:22:22 BDT 2025","RegisterFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Register.spec.js","",""
"","49424","verify searching Clay pot product","Desktop-Microsoft_Edge","Sat Mar 01 15:26:20 BDT 2025","passed","Sat Mar 01 15:27:10 BDT 2025","search_productDisplay@regression","ClaypotstoreTest\Search_ProductDisplay.spec.js","",""
"","32889","verify searching 1product","Desktop-Microsoft_Edge","Sat Mar 01 15:32:07 BDT 2025","failed","Sat Mar 01 15:32:40 BDT 2025","search_productDisplay@regression","ClaypotstoreTest\Search_ProductDisplay.spec.js","",""
"","43264","Validate Order Coupon","Desktop-Microsoft_Edge","Sat Mar 01 14:03:18 BDT 2025","passed","Sat Mar 01 14:04:01 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\Checkout.spec.js","",""
"","21373","Register with rinmk33322242@gmail.com Valid data @positive@smoke","Desktop-Microsoft_Edge","Sat Mar 01 15:49:54 BDT 2025","passed","Sat Mar 01 15:50:16 BDT 2025","RegisterFunctionalityTest@regression","ClaypotstoreTest\Register.spec.js","",""
"","7456","Verify HomePage Texts","Desktop-Microsoft_Edge","Fri Feb 28 20:31:26 BDT 2025","passed","Fri Feb 28 20:31:34 BDT 2025","HomePageTest@smoke@regression","ClaypotstoreTest\FunctionalTest\HomePage.spec.js","",""
"","2687","Update a Product","Desktop-Microsoft_Edge","Sat Mar 01 18:11:29 BDT 2025","passed","Sat Mar 01 18:11:32 BDT 2025","","Woocommerce Rest API\Product_API_Test.spec.js","",""
"","18074","Login with vggh122324_vmd7-gjddsa34-1093 valid data @positive @smoke","Desktop-Microsoft_Edge","Sat Mar 01 15:50:04 BDT 2025","passed","Sat Mar 01 15:50:22 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","4774","View Every Customers","chromium","Sat Mar 01 17:47:27 BDT 2025","passed","Sat Mar 01 17:47:32 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","5294","Verify Breadcrumb Links of Product Page","Desktop-Microsoft_Edge","Sat Mar 01 15:49:49 BDT 2025","passed","Sat Mar 01 15:49:54 BDT 2025","ProductPageTest@regression","ClaypotstoreTest\ProductShop.spec.js","",""
"","53572","verify searching 1 product","Desktop-Microsoft_Edge","Sat Mar 01 15:25:26 BDT 2025","passed","Sat Mar 01 15:26:20 BDT 2025","search_productDisplay@regression","ClaypotstoreTest\Search_ProductDisplay.spec.js","",""
"","9736","Visit Cart","Desktop-Microsoft_Edge","Sat Mar 01 01:38:25 BDT 2025","passed","Sat Mar 01 01:38:35 BDT 2025","End to End Test @EndToEnd","ClaypotstoreTest\End to End Test\E2E Test.spec.js","",""
"","58062","Validate Order Summary Form","Desktop-Microsoft_Edge","Sat Mar 01 01:16:24 BDT 2025","passed","Sat Mar 01 01:17:23 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\FunctionalTest\Checkout.spec.js","",""
"","2824","Delete a Order","Desktop-Microsoft_Edge","Sat Mar 01 18:02:23 BDT 2025","passed","Sat Mar 01 18:02:26 BDT 2025","","Woocommerce Rest API\Order_API_Test.spec.js","",""
"","17907","Register with rinmk33322242@gmail.com Valid data @positive@smoke","Desktop-Microsoft_Edge","Fri Feb 28 20:21:09 BDT 2025","passed","Fri Feb 28 20:21:27 BDT 2025","RegisterFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Register.spec.js","",""
"","7446","Verify HomePage URL and Title","Desktop-Microsoft_Edge","Sat Mar 01 17:44:47 BDT 2025","passed","Sat Mar 01 17:44:54 BDT 2025","HomePageTest@regression","ClaypotstoreTest\HomePage.spec.js","",""
"","73716","verify searching CLAY POT product","Desktop-Microsoft_Edge","Sat Mar 01 15:28:53 BDT 2025","passed","Sat Mar 01 15:30:07 BDT 2025","search_productDisplay@regression","ClaypotstoreTest\Search_ProductDisplay.spec.js","",""
"","2503","Validate Checkout Page URL,Title and Heading","Desktop-Microsoft_Edge","Sat Mar 01 17:41:08 BDT 2025","passed","Sat Mar 01 17:41:11 BDT 2025","checkoutpage@regression","ClaypotstoreTest\Checkout.spec.js","",""
"","19363","Register with 43135626@yahoo Invalid data @negative","Desktop-Microsoft_Edge","Sat Mar 01 15:52:14 BDT 2025","passed","Sat Mar 01 15:52:33 BDT 2025","RegisterFunctionalityTest@regression","ClaypotstoreTest\Register.spec.js","",""
"","13547","Visit Shop","Desktop-Microsoft_Edge","Sat Mar 01 14:20:48 BDT 2025","passed","Sat Mar 01 14:21:01 BDT 2025","Compatibility_MObile  @CompatibilityMobile","ClaypotstoreTest\Compatibility Test\Compatibility_Test_Mobile.spec.js","",""
"","19430","Order Checkout","Desktop-Microsoft_Edge","Sat Mar 01 14:29:00 BDT 2025","passed","Sat Mar 01 14:29:19 BDT 2025","Compatibility_Tablet Test @CompatibilityTablet","ClaypotstoreTest\Compatibility Test\Compatibility_Test_Tablet.spec.js","",""
"","2331","Create a Customer","chromium","Sat Mar 01 17:47:34 BDT 2025","failed","Sat Mar 01 17:47:37 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","2583","Create a Customer","firefox","Sat Mar 01 17:47:48 BDT 2025","failed","Sat Mar 01 17:47:50 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","90081","Validate Order Summary Form","Desktop-Microsoft_Edge","Sat Mar 01 17:42:31 BDT 2025","failed","Sat Mar 01 17:44:01 BDT 2025","checkoutpage@regression","ClaypotstoreTest\Checkout.spec.js","",""
"","77478","verify searching Clay pot 1 product","Desktop-Microsoft_Edge","Sat Mar 01 15:22:19 BDT 2025","broken","Sat Mar 01 15:23:36 BDT 2025","search_productDisplay@regression","ClaypotstoreTest\Search_ProductDisplay.spec.js","",""
"","2399","View Single Customer","webkit","Sat Mar 01 17:47:45 BDT 2025","passed","Sat Mar 01 17:47:48 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","11602","Login with 67458@gmail.com72764 @negative","Desktop-Microsoft_Edge","Fri Feb 28 20:27:26 BDT 2025","passed","Fri Feb 28 20:27:37 BDT 2025","LoginFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Login.spec.js","",""
"","18790","Order Checkout","Desktop-Microsoft_Edge","Sat Mar 01 01:38:35 BDT 2025","passed","Sat Mar 01 01:38:54 BDT 2025","End to End Test @EndToEnd","ClaypotstoreTest\End to End Test\E2E Test.spec.js","",""
"","4171","Adding Product to cart","Desktop-Microsoft_Edge","Fri Feb 28 21:06:58 BDT 2025","passed","Fri Feb 28 21:07:02 BDT 2025","Cart_Page_Test@smoke@regression","ClaypotstoreTest\FunctionalTest\Cart.spec.js","",""
"","2715","View Single Product","Desktop-Microsoft_Edge","Sat Mar 01 18:11:22 BDT 2025","passed","Sat Mar 01 18:11:25 BDT 2025","","Woocommerce Rest API\Product_API_Test.spec.js","",""
"","5296","Update a Order","Desktop-Microsoft_Edge","Sat Mar 01 01:38:19 BDT 2025","passed","Sat Mar 01 01:38:24 BDT 2025","","ClaypotstoreTest\Woocommerce Rest API\Order_API_Test.spec.js","",""
"","13280","Search Product and visit Product Display Page","Desktop-Microsoft_Edge","Sat Mar 01 01:38:12 BDT 2025","passed","Sat Mar 01 01:38:25 BDT 2025","End to End Test @EndToEnd","ClaypotstoreTest\End to End Test\E2E Test.spec.js","",""
"","4307","View Every Product","Desktop-Microsoft_Edge","Sat Mar 01 01:38:28 BDT 2025","passed","Sat Mar 01 01:38:33 BDT 2025","","ClaypotstoreTest\Woocommerce Rest API\Product_API_Test.spec.js","",""
"","3429","View Every Orders","Desktop-Microsoft_Edge","Sat Mar 01 01:38:03 BDT 2025","passed","Sat Mar 01 01:38:07 BDT 2025","","ClaypotstoreTest\Woocommerce Rest API\Order_API_Test.spec.js","",""
"","5273","Validate Cart Product Details, Quantity","Desktop-Microsoft_Edge","Fri Feb 28 21:07:02 BDT 2025","passed","Fri Feb 28 21:07:07 BDT 2025","Cart_Page_Test@smoke@regression","ClaypotstoreTest\FunctionalTest\Cart.spec.js","",""
"","3470","View Every Orders","Desktop-Microsoft_Edge","Sat Mar 01 18:02:08 BDT 2025","passed","Sat Mar 01 18:02:12 BDT 2025","","Woocommerce Rest API\Order_API_Test.spec.js","",""
"","10731","Visit Shop","Desktop-Microsoft_Edge","Sat Mar 01 14:28:23 BDT 2025","passed","Sat Mar 01 14:28:34 BDT 2025","Compatibility_Tablet Test @CompatibilityTablet","ClaypotstoreTest\Compatibility Test\Compatibility_Test_Tablet.spec.js","",""
"","2923","Delete a Product","Desktop-Microsoft_Edge","Sat Mar 01 18:11:32 BDT 2025","passed","Sat Mar 01 18:11:35 BDT 2025","","Woocommerce Rest API\Product_API_Test.spec.js","",""
"","16582","Login with 12saaammmcin valid data @positive @smoke","Desktop-Microsoft_Edge","Fri Feb 28 20:25:44 BDT 2025","passed","Fri Feb 28 20:26:01 BDT 2025","LoginFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Login.spec.js","",""
"","4737","View Every Customers","woocommerce-rest-api-tests","Sat Mar 01 17:47:27 BDT 2025","passed","Sat Mar 01 17:47:32 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","3787","Create a Customer","Desktop-Microsoft_Edge","Sat Mar 01 01:37:52 BDT 2025","failed","Sat Mar 01 01:37:56 BDT 2025","","ClaypotstoreTest\Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","10445","Login with nolak.kapali@gmail.com @negative","Desktop-Microsoft_Edge","Fri Feb 28 20:27:15 BDT 2025","passed","Fri Feb 28 20:27:26 BDT 2025","LoginFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Login.spec.js","",""
"","15506","Validate Footer Visible Texts","Desktop-Microsoft_Edge","Sat Mar 01 15:47:26 BDT 2025","passed","Sat Mar 01 15:47:42 BDT 2025","HeaderandFooter@regression","ClaypotstoreTest\HeaderFooter.spec.js","",""
"","25251","Login with rink332242 valid data @positive @smoke","Desktop-Microsoft_Edge","Sat Mar 01 17:46:09 BDT 2025","passed","Sat Mar 01 17:46:34 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","36080","verify searching clay potproduct","Desktop-Microsoft_Edge","Sat Mar 01 15:33:30 BDT 2025","failed","Sat Mar 01 15:34:06 BDT 2025","search_productDisplay@regression","ClaypotstoreTest\Search_ProductDisplay.spec.js","",""
"","40798","Shop Button Test with Login","Desktop-Microsoft_Edge","Sat Mar 01 17:45:28 BDT 2025","passed","Sat Mar 01 17:46:08 BDT 2025","HomePageTest@regression","ClaypotstoreTest\HomePage.spec.js","",""
"","8777","Adding Product to cart","Desktop-Microsoft_Edge","Sat Mar 01 17:42:03 BDT 2025","failed","Sat Mar 01 17:42:12 BDT 2025","Cart_Page_Test@regression","ClaypotstoreTest\Cart.spec.js","",""
"","41471","Validate Order Checkout Form","Desktop-Microsoft_Edge","Sat Mar 01 01:18:26 BDT 2025","passed","Sat Mar 01 01:19:08 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\FunctionalTest\Checkout.spec.js","",""
"","51801","verify searching clay product","Desktop-Microsoft_Edge","Sat Mar 01 15:23:39 BDT 2025","passed","Sat Mar 01 15:24:31 BDT 2025","search_productDisplay@regression","ClaypotstoreTest\Search_ProductDisplay.spec.js","",""
"","8918","Validate Cart Product Details, Quantity","Desktop-Microsoft_Edge","Sat Mar 01 17:42:35 BDT 2025","passed","Sat Mar 01 17:42:44 BDT 2025","Cart_Page_Test@regression","ClaypotstoreTest\Cart.spec.js","",""
"","4182","Validate Return to Cart Button","Desktop-Microsoft_Edge","Sat Mar 01 14:02:25 BDT 2025","passed","Sat Mar 01 14:02:29 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\Checkout.spec.js","",""
"","1329","Verify Product Page Heading and Product Name,Image,Price,Add to Cart button","Desktop-Microsoft_Edge","Fri Feb 28 21:02:46 BDT 2025","passed","Fri Feb 28 21:02:47 BDT 2025","ProductPageTest@smoke@regression","ClaypotstoreTest\FunctionalTest\ProductShop.spec.js","",""
